	RP	SYMBOL	Entrez RNA	RNA Type	Species	Protein	Entrez Protein	Protein Type	Species	Confidence
8850818	RP08850819	PYGO2	90780	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8850822	RP08850823	EFNA1	1942	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8850826	RP08850827	FAM189B	10712	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8850835	RP08850836	SSR2	6746	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8850847	RP08850848	HDGF	3068	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8850862	RP08850863	CASP9	842	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8850875	RP08850876	DCAF8	50717	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8850887	RP08850888	NIT1	4817	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8850898	RP08850899	SDHC	6391	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8850922	RP08850923	WDR74	54663	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8850931	RP08850932	BAD	572	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8850935	RP08850936	SF1	7536	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8850936	RP08850937	PBX1	5087	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8850938	RP08850939	CDCA5	113130	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8850940	RP08850941	FAU	2197	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8850950	RP08850951	CFL1	1072	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8850951	RP08850952	CCDC85B	11007	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8850954	RP08850955	UCK2	7371	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8850969	RP08850970	PPP1CA	5499	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8850997	RP08850998	RNF121	55298	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8850999	RP08851000	LAMTOR1	55004	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851021	RP08851022	CACYBP	27101	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851025	RP08851026	TALDO1	6888	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851049	RP08851050	RPLP2	6181	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851060	RP08851061	CD151	977	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851073	RP08851074	RPL27A	6157	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851075	RP08851076	TMEM9B	56674	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851079	RP08851080	TMEM41B	440026	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851084	RP08851085	SESN3	143686	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851090	RP08851091	CAPZB	832	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851098	RP08851099	TMEM9	252839	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851132	RP08851133	CHPT1	56994	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851142	RP08851143	C12orf75	387882	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851149	RP08851150	ISCU	23479	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851154	RP08851155	HP1BP3	50809	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851160	RP08851161	PPP1CC	5501	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851179	RP08851180	WSB2	55884	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851181	RP08851182	PEBP1	5037	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851184	RP08851185	RPLP0	6175	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851189	RP08851190	SRSF9	8683	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851190	RP08851191	DYNLL1	8655	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851192	RP08851193	MLEC	9761	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851209	RP08851210	DENR	8562	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851211	RP08851212	CDK2AP1	8099	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851220	RP08851221	SCARB1	949	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851223	RP08851224	NENF	29937	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851231	RP08851232	RAN	5901	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851235	RP08851236	PGAM5	192111	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851264	RP08851265	LDHB	3945	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851272	RP08851273	FBXO28	23219	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851274	RP08851275	CNIH4	29097	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851283	RP08851284	PARP1	142	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851289	RP08851290	ARF1	375	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851290	RP08851291	GUK1	2987	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851297	RP08851298	TAF5L	27097	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851341	RP08851342	CHML	1122	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851344	RP08851345	GXYLT1	283464	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851353	RP08851354	DESI2	51029	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851378	RP08851379	ARF3	377	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851422	RP08851423	SMUG1	23583	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851426	RP08851427	CD63	967	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851437	RP08851438	NABP2	79035	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851440	RP08851441	AC073896.1	ENSG00000144785	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851460	RP08851461	AUNIP	79000	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851473	RP08851474	LTBR	4055	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851478	RP08851479	MRPL51	51258	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851487	RP08851488	COPS7A	50813	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851488	RP08851489	MLF2	8079	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851497	RP08851498	TPI1	7167	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851504	RP08851505	PHB2	11331	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851543	RP08851544	SOCS2	8835	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851555	RP08851556	TMPO	7112	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851570	RP08851571	CUL4A	8451	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851574	RP08851575	CDC16	8881	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851584	RP08851585	ZDHHC20	253832	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851586	RP08851587	KHDRBS1	10657	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851600	RP08851601	POLR1D	51082	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851607	RP08851608	KIAA1522	57648	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851612	RP08851613	AK2	204	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851627	RP08851628	GPALPP1	55425	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851628	RP08851629	TPT1	7178	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851634	RP08851635	EBPL	84650	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851646	RP08851647	TRAPPC3	27095	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851655	RP08851656	CEP104	9731	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851669	RP08851670	FHL3	2275	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851679	RP08851680	MACF1	ENSG00000127603	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851699	RP08851700	CKB	1152	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851708	RP08851709	SIVA1	10572	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851710	RP08851711	CDCA4	55038	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851730	RP08851731	PRMT5	10419	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851734	RP08851735	PABPN1	8106	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851749	RP08851750	YBX1	4904	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851754	RP08851755	CFL2	1073	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851764	RP08851765	SEC23A	10484	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851768	RP08851769	PTPRF	5792	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851771	RP08851772	ATP6V0B	533	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851772	RP08851773	B4GALT2	8704	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851793	RP08851794	ERO1A	30001	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851812	RP08851813	PRDX1	5052	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851829	RP08851830	ZBTB25	7597	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851837	RP08851838	MPP5	64398	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851852	RP08851853	ATPAF1	64756	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851862	RP08851863	NPC2	10577	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851879	RP08851880	ZC3H14	79882	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851880	RP08851881	CALM1	801	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851888	RP08851889	PAPOLA	10914	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851907	RP08851908	TXNDC12	51060	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851919	RP08851920	EMC7	56851	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851938	RP08851939	OIP5	11339	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851948	RP08851949	SNAP23	8773	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851956	RP08851957	SERF2	10169	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851960	RP08851961	EIF3J	8669	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851966	RP08851967	MRPL37	51253	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8851969	RP08851970	DUT	1854	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8851999	RP08852000	GTF2A2	2958	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852001	RP08852002	ANXA2	302	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852010	RP08852011	SPG21	51324	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852026	RP08852027	CLN6	54982	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852036	RP08852037	PKM	5315	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852045	RP08852046	COX5A	9377	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852051	RP08852052	RCN2	5955	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852052	RP08852053	TSPAN3	10099	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852058	RP08852059	MORF4L1	10933	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852060	RP08852061	ZFAND6	54469	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852061	RP08852062	ABHD17C	58489	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852063	RP08852064	BTBD1	53339	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852065	RP08852066	SEC11A	23478	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852077	RP08852078	CIB1	10519	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852094	RP08852095	LITAF	9516	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852099	RP08852100	UBE2I	7329	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852101	RP08852102	UNKL	64718	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852111	RP08852112	MRPS34	65993	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852112	RP08852113	NUBP2	10101	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852114	RP08852115	RPS15A	6210	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852121	RP08852122	NDUFB10	4716	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852122	RP08852123	RPS2	6187	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852124	RP08852125	GFER	2671	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852128	RP08852129	METTL9	51108	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852130	RP08852131	MLST8	64223	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852131	RP08852132	RNPS1	10921	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852133	RP08852134	UBFD1	56061	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852136	RP08852137	DCTN5	84516	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852142	RP08852143	ATP6V0C	527	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852148	RP08852149	KCTD5	54442	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852150	RP08852151	SRRM2	23524	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852153	RP08852154	CLN3	1201	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852154	RP08852155	PRSS21	10942	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852161	RP08852162	MAZ	4150	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852162	RP08852163	CDIPT	10423	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852164	RP08852165	INO80E	283899	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852166	RP08852167	PPP4C	5531	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852167	RP08852168	MAPK3	5595	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852170	RP08852171	DCTPP1	79077	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852176	RP08852177	TNFRSF12A	51330	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852183	RP08852184	VKORC1	79001	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852185	RP08852186	FUS	2521	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852191	RP08852192	NAA60	79903	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852192	RP08852193	ACOT7	11332	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852203	RP08852204	NME4	4833	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852212	RP08852213	NUDT16L1	84309	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852216	RP08852217	ROGDI	79641	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852228	RP08852229	MT2A	4502	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852242	RP08852243	CMTM3	123920	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852243	RP08852244	CMTM4	146223	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852245	RP08852246	NAE1	8883	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852248	RP08852249	E2F4	1874	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852254	RP08852255	PSKH1	5681	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852261	RP08852262	CHTF8	54921	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852265	RP08852266	COG8	84342	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852268	RP08852269	TERF2	7014	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852284	RP08852285	JMJD8	339123	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852295	RP08852296	SERBP1	26135	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852297	RP08852298	CENPN	55839	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852298	RP08852299	GADD45A	1647	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852304	RP08852305	ZDHHC7	55625	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852305	RP08852306	COX4I1	1327	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852313	RP08852314	ANKRD11	29123	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852330	RP08852331	CRK	1398	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852341	RP08852342	UBB	7314	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852342	RP08852343	MPRIP	23164	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852344	RP08852345	PEMT	10400	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852355	RP08852356	ALDH3A2	224	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852381	RP08852382	TRAF4	9618	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852382	RP08852383	FAM222B	55731	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852396	RP08852397	COPRS	55352	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852417	RP08852418	EMC6	83460	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852420	RP08852421	DUSP14	11072	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852452	RP08852453	NT5C3B	115024	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852456	RP08852457	NKIRAS2	28511	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852467	RP08852468	PSMC3IP	29893	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852469	RP08852470	TUBG1	7283	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852472	RP08852473	PSME3	10197	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852479	RP08852480	VPS53	55275	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852480	RP08852481	G6PC3	92579	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852485	RP08852486	SLC25A39	51629	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852496	RP08852497	ARHGAP27	201176	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852504	RP08852505	MRPL10	124995	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852517	RP08852518	SLC25A11	8402	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852527	RP08852528	NME2	4831	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852536	RP08852537	C1QBP	708	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852586	RP08852587	C17orf49	124944	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852589	RP08852590	PHF23	79142	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852591	RP08852592	EIF5A	1984	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852598	RP08852599	MRPS7	51081	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852606	RP08852607	SRP68	6730	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852619	RP08852620	SYNGR2	9144	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852622	RP08852623	BIRC5	332	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852624	RP08852625	USP36	57602	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852638	RP08852639	MRPL12	6182	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852640	RP08852641	SLC25A10	1468	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852642	RP08852643	P4HB	5034	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852643	RP08852644	ARHGDIA	396	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852644	RP08852645	PYCR1	5831	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852645	RP08852646	RAC3	5881	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852646	RP08852647	DCXR	51181	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852663	RP08852664	NDEL1	81565	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852698	RP08852699	DSG2	1829	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852703	RP08852704	RPRD1A	55197	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852733	RP08852734	PMAIP1	5366	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852740	RP08852741	TYMS	7298	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852748	RP08852749	HS2ST1	9653	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852751	RP08852752	PQLC1	80148	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852752	RP08852753	HSBP1L1	440498	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852753	RP08852754	TXNL4A	10907	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852775	RP08852776	MRPL4	51073	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852781	RP08852782	POLR2E	5434	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852785	RP08852786	GPX4	2879	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852801	RP08852802	CIRBP	1153	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852814	RP08852815	NFIX	4784	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852817	RP08852818	STX10	8677	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852821	RP08852822	ZNF644	84146	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852823	RP08852824	PRKACA	5566	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852825	RP08852826	DAZAP1	26528	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852831	RP08852832	GIPC1	10755	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852834	RP08852835	C19orf25	148223	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
8852835	RP08852836	REEP6	92840	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7155
8852837	RP08852838	BRD4	23476	mRNA	Homo sapiens	UPF1	5976.0	RBP	Homo sapiens	0.7331
